,Total Jobs,Jobs Earning at or Under 1250$/month,Jobs Earning Between 1251$ and 3333/month,Jobs Earning Over 3333$/month,No Tax Commute Cost,No Tax Commute Time,Full Tax Commute Time,Full Tax Commute Cost,Half Tax Commute Cost,Half Tax Commute Time
150,1,1,0,0,12169.17653328529,12949.537469579795,9129.514452593803,11015.95321904318,12169.17653328529,12949.537469579795
151,1,1,0,0,3455.135691075033,1688.0612078604483,1688.0612078604483,3455.135691075033,3455.135691075033,1688.0612078604483
152,1,0,0,1,5760.827247795404,2745.853996072664,2745.853996072664,5760.827247795404,5760.827247795404,2745.853996072664
153,1,1,0,0,3016.871261125855,1454.4289522785307,1454.4289522785307,3016.871261125855,3016.871261125855,1454.4289522785307
154,1,0,0,1,4057.0277662640683,2035.7143289779444,2035.7143289779444,4057.0277662640683,4057.0277662640683,2035.7143289779444
155,1,0,0,1,3043.7257394781823,1553.993143134353,1553.993143134353,3043.7257394781823,3043.7257394781823,1553.993143134353
156,1,0,1,0,2588.8597666324945,1253.8098719617117,1253.8098719617117,2588.8597666324945,2588.8597666324945,1253.8098719617117
157,1,1,0,0,6015.641598561825,2981.532068000172,2981.532068000172,6015.641598561825,6015.641598561825,2981.532068000172
158,1,0,0,1,11851.913244372756,12561.703243025788,8848.594892981197,10739.111380611035,11851.913244372756,12561.703243025788
159,1,0,0,1,6758.4615188945645,3263.3615097567617,3263.3615097567617,6758.4615188945645,6758.4615188945645,3263.3615097567617
160,1,1,0,0,2446.6550813085496,1372.546293114909,1372.546293114909,2446.6550813085496,2446.6550813085496,1372.546293114909
161,1,1,0,0,7752.386124109782,3861.851717277313,3861.851717277313,7752.386124109782,7752.386124109782,3861.851717277313
162,1,0,0,1,9336.901981128121,4709.11499898264,4709.11499898264,8488.396174303749,9336.901981128121,4709.11499898264
163,1,0,0,1,3590.341710576939,1763.9532152808636,1701.8422398668095,3591.5328358537076,3590.341710576939,1763.9532152808636
164,1,1,0,0,5094.894038291209,2478.108716675647,2478.108716675647,5094.894038291209,5094.894038291209,2478.108716675647
165,1,0,0,1,3342.231264988934,1661.1889029234794,1661.1889029234794,3342.231264988934,3342.231264988934,1661.1889029234794
166,1,0,0,1,3337.3681957376643,1673.1934994379692,1673.1934994379692,3337.3681957376643,3337.3681957376643,1673.1934994379692
167,1,1,0,0,12429.669998657746,6307.920785564891,6307.920785564891,11298.615422004277,12429.669998657746,6307.920785564891
168,1,0,1,0,12962.132843747746,22179.059198682684,14006.487209573665,11777.178105126783,12962.132843747746,22179.059198682684
169,1,0,1,0,3277.09419073949,1458.4212197963072,1458.4212197963072,3277.09419073949,3277.09419073949,1458.4212197963072
170,1,1,0,0,12244.076958070067,21830.179759211595,13657.594595907281,11123.508878734647,12244.076958070067,21830.179759211595
171,1,1,0,0,2545.3483840409604,1482.0699499697216,1482.0699499697216,2545.3483840409604,2545.3483840409604,1482.0699499697216
172,1,0,0,1,6913.921413221688,3471.9256447086937,3471.9256447086937,6913.921413221688,6913.921413221688,3471.9256447086937
173,1,1,0,0,3146.486617555894,1605.6837854138469,1605.6837854138469,3146.486617555894,3146.486617555894,1605.6837854138469
174,1,0,0,1,3118.314736553395,1674.8312419338208,1674.8312419338208,3118.314736553395,3118.314736553395,1674.8312419338208
175,1,0,0,1,3411.4458590864547,1599.6382747375476,1599.6382747375476,3411.4458590864547,3411.4458590864547,1599.6382747375476
176,1,0,0,1,3234.690484977807,1660.2340922963494,1660.2340922963494,3234.690484977807,3234.690484977807,1660.2340922963494
177,1,0,0,1,5643.916496086262,2546.1976692390313,2546.1976692390313,5643.916496086262,5643.916496086262,2546.1976692390313
178,1,1,0,0,4906.227601173659,2481.3647559685696,2481.3647559685696,4906.227601173659,4906.227601173659,2481.3647559685696
179,1,0,1,0,11790.748990815491,12510.816682529028,8808.115942298904,10697.367081474013,11790.748990815491,12510.816682529028
180,1,0,0,1,6059.323456162483,3042.6233036308527,3042.6233036308527,6059.323456162483,6059.323456162483,3042.6233036308527
181,1,1,0,0,6292.567070954996,3036.239183437422,3036.239183437422,6292.567070954996,6292.567070954996,3036.239183437422
182,1,0,0,1,2201.300644425383,1070.4594774652223,1070.4594774652223,2201.300644425383,2201.300644425383,1070.4594774652223
183,1,0,0,1,3484.2211724548083,1679.1397416219884,1679.1397416219884,3484.2211724548083,3484.2211724548083,1679.1397416219884
